CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10000,3180.38,0.99,5060.17,2710.82,960.45,139.58,0.58,0.16,0.5,0.18,10,26,12289.07,2320.6,759.26,0.17,12
C10001,835.33,0.66,948.89,386.01,439.37,84.19,0.98,0.5,0.43,0.15,6,57,3807.41,916.95,102.43,0.56,8
C10002,3188.27,0.49,81.07,45.72,35.11,2195.1,0.15,0.04,0.99,0.86,0,22,6205.53,3347.5,796.9,0.23,11
C10003,3770.91,0.55,2795.91,844.19,562.0,0.0,0.09,0.54,0.93,0.13,16,16,8726.11,4031.74,342.83,0.19,8
C10004,270.3,0.52,33.43,15.07,14.06,268.29,0.03,0.18,0.67,0.07,13,1,1719.89,209.96,16.23,0.2,12
C10005,3416.67,0.56,214.33,137.85,37.84,2000.04,0.77,0.73,0.54,0.7,17,32,7550.84,2854.52,311.81,0.11,12
C10006,3487.61,0.22,3252.16,1730.85,357.56,274.76,0.92,0.87,0.27,0.12,4,30,9400.83,3143.36,388.67,0.19,12
C10007,3783.29,0.4,4088.3,1652.69,1980.57,30.45,0.84,0.76,0.62,0.15,3,45,6652.18,2399.62,236.77,0.21,11
C10008,136.12,0.99,53.95,35.44,21.83,10.59,0.94,0.06,0.83,0.1,4,10,1934.95,102.58,10.54,0.19,10
C10009,1963.05,0.94,662.59,202.83,195.87,129.27,0.55,0.5,0.98,0.18,7,18,5077.49,1656.4,246.71,0.43,12
C10010,1688.54,0.24,1000.89,653.75,437.67,129.0,0.76,0.11,0.17,0.08,7,14,4314.14,1636.64,444.28,0.85,12
C10011,1803.66,0.98,67.0,40.46,8.73,1584.32,0.34,0.41,0.27,0.39,15,32,4669.63,1469.35,475.93,0.08,12
C10012,1166.0,0.83,1090.19,390.89,431.58,114.87,0.77,0.84,0.88,0.09,19,16,2426.77,709.19,347.93,0.52,12
C10013,3655.63,0.2,3194.02,1038.57,1541.21,49.75,0.75,0.04,0.86,0.14,0,25,6783.33,2915.64,272.35,0.01,8
C10014,1810.52,0.93,947.76,644.94,405.11,0.0,0.44,0.25,0.72,0.01,10,55,4723.58,1578.7,91.36,0.61,12
C10015,311.36,0.97,6.37,2.08,1.74,122.65,0.04,0.83,0.1,0.07,12,23,1478.32,297.52,59.6,0.1,12
C10016,1270.52,0.7,1000.92,690.14,238.74,0.0,0.27,0.41,0.71,0.15,4,58,4477.67,1394.6,255.13,0.75,10
C10017,259.86,0.83,61.07,28.6,27.91,0.0,0.89,0.24,0.47,0.11,8,3,1615.84,172.22,28.34,0.02,10
C10018,5357.27,0.47,1574.19,694.85,340.97,69.55,0.59,0.95,0.37,0.06,14,27,8852.39,4777.66,1335.36,0.28,11
C10019,1721.84,0.66,916.92,513.49,435.52,134.45,0.41,0.16,0.25,0.13,10,1,3922.46,1363.97,497.59,0.74,11
C10020,4615.89,0.79,2817.82,1404.45,642.29,259.02,0.95,0.79,0.32,0.18,1,33,9720.7,4527.56,613.55,0.04,11
C10021,1042.0,0.65,856.71,390.68,128.51,178.34,0.37,0.18,0.54,0.1,8,17,3183.79,1158.69,298.49,0.85,12
C10022,2322.31,0.44,252.2,140.24,49.02,2202.85,0.33,0.96,0.16,0.9,6,11,6333.7,1936.73,176.65,0.09,8
C10023,3021.03,0.72,140.31,61.74,43.19,2509.51,0.77,0.79,0.51,0.49,3,54,3049.49,3295.71,510.28,0.26,12
C10024,4390.93,0.87,2564.65,804.64,390.96,129.35,0.36,0.28,0.05,0.09,2,39,9789.65,2201.68,435.99,0.26,12
C10025,139.71,0.87,64.45,40.6,16.24,300.46,0.45,0.98,0.41,0.06,6,11,500.0,159.07,27.4,0.24,10
C10026,1799.37,0.31,1356.04,685.96,626.95,0.0,0.72,0.11,0.96,0.2,17,42,2138.25,1892.83,121.97,0.7,12
C10027,301.1,0.56,75.77,43.54,10.42,66.94,0.43,0.86,0.74,0.04,17,3,1299.45,178.76,53.02,0.28,11
C10028,172.02,0.23,62.68,33.22,21.68,73.19,0.32,0.7,0.07,0.19,3,30,587.0,167.33,16.05,0.08,9
C10029,3371.22,0.71,4359.06,2378.64,1139.92,171.48,0.02,0.17,0.69,0.08,12,37,10983.61,2899.12,520.39,0.2,12
C10030,3768.1,0.39,4322.87,1675.44,1551.83,21.7,0.86,0.55,0.2,0.1,14,8,8916.92,4444.44,836.57,0.16,11
C10031,1713.22,0.94,130.57,87.98,38.63,1128.24,0.53,0.01,0.47,0.72,9,57,5877.42,1221.6,228.62,0.13,11
C10032,289.71,0.69,0.0,0.0,0.0,146.37,0.85,0.57,0.29,0.05,0,5,2207.22,268.36,53.63,0.06,12
C10033,1272.38,0.52,567.83,379.34,148.2,165.07,0.62,0.58,0.93,0.05,14,3,2270.09,1101.89,372.65,0.58,12
C10034,1001.67,0.79,809.62,504.21,245.62,163.62,0.2,0.41,0.05,0.08,3,29,2259.88,655.88,269.28,0.86,12
C10035,320.98,0.37,0.0,0.0,0.0,223.07,0.36,0.82,0.88,0.15,3,44,2305.27,343.31,96.05,0.2,12
C10036,203.41,0.27,97.75,47.32,28.95,96.06,0.42,0.93,0.7,0.14,5,32,1220.48,207.5,19.17,0.28,12
C10037,1297.21,0.27,1136.89,351.37,165.86,142.41,0.74,0.53,0.36,0.2,1,6,5009.18,1142.7,225.11,0.6,12
C10038,88.6,0.67,97.46,41.53,32.48,41.08,0.55,0.67,0.88,0.02,18,5,500.0,102.85,21.8,0.02,12
C10039,4070.29,0.91,2935.61,1661.39,795.43,22.82,0.64,0.15,0.41,0.15,10,8,8541.4,4675.4,1148.84,0.03,9
C10040,612.06,0.38,984.8,425.69,407.06,241.19,0.75,1.0,0.7,0.04,16,58,3774.98,656.49,67.46,0.45,12
C10041,4243.07,0.81,3443.14,1169.47,920.66,35.03,0.27,0.86,0.79,0.1,0,56,7394.99,2574.13,1259.93,0.08,7
C10042,3926.77,0.23,3576.72,1813.77,1259.86,151.3,0.88,0.95,0.29,0.04,3,4,10849.73,4421.18,629.61,0.07,11
C10043,363.89,0.48,36.51,13.21,4.51,142.48,0.45,0.78,0.07,0.19,2,42,1110.13,259.84,88.43,0.12,12
C10044,5771.32,0.72,3335.44,1409.18,1280.83,194.0,0.66,0.32,0.87,0.1,1,49,8662.25,5188.73,1036.51,0.22,11
C10045,3638.44,0.86,3658.65,1832.12,1767.03,0.0,0.22,0.22,0.23,0.09,14,33,8950.66,4301.81,452.62,0.19,7
C10046,1178.66,0.95,918.07,318.12,256.24,171.3,0.23,0.51,0.93,0.06,3,9,3312.46,779.89,91.02,0.46,12
C10047,482.37,0.71,36.07,12.44,3.75,95.36,0.73,0.08,0.32,0.09,18,9,1131.69,308.64,43.64,0.27,12
C10048,4201.48,0.57,3243.23,1245.52,1107.43,52.01,0.35,0.55,0.41,0.02,14,41,8108.19,4606.31,890.08,0.29,12
C10049,329.1,0.25,61.34,32.92,9.7,79.93,0.88,0.37,0.43,0.14,5,33,1552.13,167.56,62.02,0.24,12
C10050,20.38,0.42,0.0,0.0,0.0,182.94,0.66,0.73,0.47,0.11,5,10,964.41,12.68,3.22,0.06,11
C10051,314.86,0.94,66.29,26.23,7.49,158.5,0.67,0.63,0.96,0.02,7,3,2050.4,229.58,65.03,0.24,12
C10052,3111.26,0.67,2081.67,1223.87,576.88,89.77,0.38,0.25,0.25,0.02,10,25,8533.87,3163.52,550.22,0.16,12
C10053,4951.03,0.47,1979.0,743.61,890.14,8.87,0.9,0.73,0.61,0.06,13,23,5638.76,4140.67,422.47,0.01,12
C10054,4500.54,0.4,4192.72,2323.63,646.33,14.52,0.94,0.31,0.29,0.09,8,58,9146.47,3489.4,519.31,0.2,9
C10055,2988.37,0.29,4279.23,1519.5,1280.9,160.24,0.26,0.25,0.13,0.04,16,42,8208.8,3416.06,472.01,0.29,12
C10056,1481.83,0.8,988.43,630.77,199.22,0.0,0.51,0.42,0.29,0.03,15,25,2936.21,1525.01,221.47,0.32,12
C10057,1505.34,0.53,836.55,499.42,171.0,90.55,0.91,0.16,0.55,0.02,5,34,3542.63,1419.5,414.92,0.35,12
C10058,116.02,0.95,65.76,37.64,23.5,314.49,0.1,0.33,0.61,0.06,7,31,1516.78,85.63,33.12,0.07,12
C10059,172.55,0.56,51.24,15.67,20.46,136.76,0.3,0.26,0.26,0.13,16,40,1929.23,190.02,31.67,0.17,12
C10060,4127.44,0.85,2863.84,1817.29,1286.76,159.38,0.95,0.02,0.99,0.14,14,34,8191.16,2794.95,480.49,0.24,12
C10061,1610.37,0.3,1009.42,363.73,213.29,15.12,0.48,0.3,0.36,0.06,19,6,2834.89,1871.48,402.14,0.38,11
C10062,595.51,0.32,363.1,186.41,46.59,1.82,0.95,0.47,0.83,0.09,1,31,3516.22,406.33,56.85,0.78,12
C10063,4465.48,0.42,2450.64,1496.52,678.61,163.67,0.38,0.83,0.04,0.13,1,45,8057.9,4796.19,772.71,0.28,9
C10064,1133.92,0.35,563.32,311.33,188.06,77.41,0.53,0.18,0.7,0.07,10,54,2162.76,1292.61,338.54,0.53,11
C10065,1161.67,0.98,970.39,609.02,384.11,193.89,0.45,0.33,0.3,0.2,4,57,3738.58,765.02,312.13,0.4,12
C10066,516.76,0.85,894.18,521.79,359.84,111.45,0.46,0.03,0.54,0.14,14,40,3699.01,341.38,145.93,0.45,7
C10067,411.92,0.48,0.0,0.0,0.0,384.51,0.92,0.08,0.84,0.12,14,54,1208.06,228.62,,0.28,12
C10068,226.0,0.62,94.2,39.52,10.59,62.21,0.69,0.36,0.72,0.1,8,1,1198.14,167.0,37.41,0.1,7
C10069,665.44,0.63,1037.7,468.67,510.96,131.13,0.95,0.5,0.36,0.1,0,5,2837.31,565.74,161.22,0.83,12
C10070,392.17,0.69,52.88,26.47,25.74,36.47,0.33,0.75,0.73,0.06,7,11,1447.75,219.68,34.9,0.14,12
C10071,1235.6,0.28,794.9,424.84,90.79,190.57,0.99,0.76,0.41,0.02,5,5,4514.14,744.37,299.31,0.78,8
C10072,2944.3,0.48,211.05,121.7,47.55,1502.41,0.71,0.91,0.06,0.49,7,39,3637.83,2342.22,398.8,0.08,12
C10073,332.23,0.27,114.45,59.77,46.49,31.1,0.13,0.91,0.67,0.18,16,30,1528.48,208.01,90.3,0.29,8
C10074,319.79,0.94,28.48,16.63,8.3,82.62,0.41,0.1,0.94,0.19,14,32,1584.56,333.05,49.38,0.29,12
C10075,379.03,0.52,92.84,33.45,9.46,217.75,0.25,0.11,0.08,0.08,13,31,1363.26,275.07,42.67,0.28,12
C10076,345.56,0.78,51.07,23.38,12.35,208.14,0.24,0.5,0.69,0.19,0,29,1534.45,183.99,96.49,0.11,12
C10077,4527.59,0.94,3995.88,2658.55,1324.94,0.0,0.93,0.59,0.84,0.14,12,51,9067.15,2753.53,1033.19,0.11,12
C10078,1355.92,0.45,1102.6,426.47,498.19,70.72,0.96,0.6,0.6,0.08,10,12,4913.87,969.58,224.73,0.55,12
C10079,4091.0,0.27,2826.93,1010.53,1220.39,253.71,0.01,0.49,0.49,0.18,12,22,8261.19,2463.0,1187.44,0.14,12
C10080,4589.47,0.47,2042.52,1221.27,977.4,94.63,0.14,0.98,0.24,0.19,8,5,9930.84,2987.22,920.63,0.07,12
C10081,1078.83,0.74,838.83,316.89,240.89,122.67,0.28,0.51,0.19,0.11,10,30,3629.72,695.43,212.27,0.62,12
C10082,4797.24,0.6,2866.71,1384.75,1202.04,190.15,0.85,0.94,0.4,0.16,6,20,7646.37,3804.59,673.09,0.26,12
C10083,341.51,0.26,27.57,16.12,3.87,1.43,0.61,0.99,0.64,0.16,15,12,1220.37,296.04,88.34,0.28,12
C10084,546.29,0.26,90.91,44.9,27.94,32.82,0.57,0.44,0.31,0.12,8,32,1043.86,511.22,107.25,0.13,12
